ID,Y,X1,X2,X3,X4
1,4.0 ,4.0 ,4.0 ,4.0 ,4.0 
2,4.0 ,4.0 ,4.0 ,3.0 ,3.5 
3,4.0 ,4.0 ,3.0 ,4.5 ,4.0 
4,4.0 ,4.0 ,4.0 ,3.0 ,3.5 
5,5.0 ,5.0 ,5.0 ,4.0 ,4.5 
6,4.0 ,4.0 ,5.0 ,3.0 ,3.5 
7,4.0 ,4.0 ,4.0 ,3.0 ,3.5 
8,5.0 ,5.0 ,4.0 ,4.0 ,4.5 
9,4.0 ,4.0 ,4.0 ,3.5 ,4.0 
10,4.0 ,4.0 ,5.0 ,3.0 ,3.5 
11,3.0 ,4.0 ,4.0 ,3.0 ,3.5 
12,4.0 ,3.0 ,3.0 ,3.0 ,3.0 
13,4.0 ,4.0 ,4.0 ,4.0 ,4.0 
14,4.0 ,4.0 ,4.0 ,3.0 ,3.5 
15,4.0 ,4.0 ,4.0 ,3.0 ,3.5 
16,4.0 ,4.0 ,3.0 ,2.5 ,3.0 
17,4.0 ,4.0 ,3.0 ,3.0 ,3.5 
18,4.0 ,4.0 ,5.0 ,5.0 ,4.5 
19,5.0 ,4.0 ,4.0 ,5.0 ,4.5 
20,5.0 ,5.0 ,4.0 ,4.0 ,4.5 
